ACCT_NBR,ORIG_BAL,PRIN_BAL,STATE,TYPE
13335333,110000,45411.2,TX,CONV
13335341,251000,247258.52,TN,CONV WITH MI
13335343,257050,252966.07,SC,CONV WITH MI
13335346,10374,10374,TX,OTHER
13335359,220500,216855.85,TX,VA
13335364,272944,271142.11,TX,FHA
13335373,206175,202524.52,TX,CONV
13335381,4025,4025,TX,OTHER
13335391,145000,141406.05,OK,CONV
13335397,93093,92299.23,OK,VA
13335410,380000,378471.09,NV,CONV
13335411,187625,185104.94,TX,CONV WITH MI
13335414,220925,219901.46,FL,CONV
13335425,12540,12540,TX,OTHER
13335427,77796,73201.53,OK,CONV
13335432,259218,256099.34,TX,FHA
13335436,181000,178575.87,TX,CONV
13335438,189350,186806.79,TN,CONV
13335455,87120,83660.25,AL,CONV
13335458,73000,69994.58,TX,CONV
13335459,206500,203786.28,KS,CONV
13335460,6775,6775,TX,OTHER
13335462,89600,88247.91,TN,CONV
13335465,144000,142900.63,KY,CONV
13335475,356700,352828.2,PA,CONV WITH MI
13335476,136000,133754.35,NJ,CONV
13335477,95625,94620.43,OK,CONV
13335484,6312,6312,TX,OTHER
13335486,92625,91651.87,OK,CONV
13335490,302000,298400.21,TX,CONV WITH MI
13335503,82616,78764.01,TX,CONV
13335506,384750,378208.88,SC,CONV WITH MI
13335507,206196,204091.6,TX,FHA
13335517,484350,480759.16,TX,CONV
13335526,339000,335564.3,TX,VA
13335527,294500,291440.22,LA,CONV WITH MI
13335536,242424,239658.28,TX,USDA
13335555,117928,116899.97,TX,FHA
13335558,278300,272920.23,WA,CONV
13335569,85000,72582.69,TN,CONV
13335578,111920,110283.07,TN,CONV
13335579,200000,197048,TX,CONV
13335586,152192,150792.92,TX,FHA
13335589,159920,151991.29,PA,CONV
13335590,93000,92000.4,OK,CONV
13335591,101000,96182.97,TX,CONV
13335596,396625,385193.65,AR,CONV WITH MI
13335597,256500,252665.84,OK,CONV WITH MI
13335598,92625,91629.42,OK,CONV
13335601,132554,131201.23,AR,FHA
